,ID,Followers,following,sn_len,ds_len,tweet_count,retweet_count,label,reputation,AgeOfAccount,TweetPerDay
8813,1.36892380423648E+018,43,147,12,155,14839,1,1,0.226315789473684,340,4.37083946980854
8814,1.36892380407703E+018,1019,362,8,128,3419,3,0,0.737871107892831,3436,1.00706921944035
8815,1.36892380393868E+018,1199,885,12,156,1472,722,0,0.575335892514395,386,0.433578792341679
8816,1.36892380190023E+018,143,122,8,159,316,1,0,0.539622641509434,143,0.093078055964654
8817,1.36892380069646E+018,5967,2928,12,132,18871,0,0,0.670826306913997,3572,5.55846833578792
8818,1.36892379943819E+018,162,520,15,126,231,0,0,0.237536656891496,37,0.068041237113402
8819,1.36892379815045E+018,692,834,13,120,1993,2,0,0.453473132372215,3811,0.587039764359352
8820,1.36892379601558E+018,2617,1776,15,148,19647,3,0,0.595720464375142,3350,5.78703976435935
8821,1.36892379485794E+018,142,432,14,0,741,0,1,0.247386759581881,3301,0.218262150220913
8822,1.36892379214847E+018,6691,6770,10,133,64522,135,0,0.497065596909591,2184,19.0050073637703
8823,1.36892379082301E+018,481,3718,10,22,170230,32,0,0.114551083591331,1527,50.1413843888071
8824,1.36892379066362E+018,108,264,11,34,1061,5,0,0.290322580645161,1368,0.312518409425626
8825,1.36892379057555E+018,374,443,11,0,14467,0,0,0.457772337821297,1823,4.26126656848306
8826,1.36892379032809E+018,418,243,6,155,675,2,0,0.632375189107413,2525,0.198821796759941
8827,1.36892378951864E+018,4912,4403,6,147,83916,2,0,0.527321524422974,4553,24.7175257731959
8828,1.36892378930893E+018,2918,687,10,81,181403,722,0,0.809431345353675,3597,53.4324005891016
8829,1.36892378570595E+018,1447,0,7,147,12131,2,0,1,614,3.57319587628866
8830,1.36892378541242E+018,16,61,11,0,19861,945,0,0.207792207792208,1308,5.8500736377025
8831,1.36892378513123E+018,252,441,12,20,71112,25,0,0.363636363636364,4363,20.9460972017673
8832,1.36892378217024E+018,111,146,14,156,394,2,0,0.431906614785992,3093,0.116053019145803
8833,1.3689237800898E+018,2174,567,13,109,1495,0,0,0.793141189346954,4273,0.440353460972018
8834,1.3689237799053E+018,119,219,10,172,18455,1,0,0.35207100591716,848,5.4359351988218
8835,1.36892377963681E+018,31045,29252,10,152,21097,4,0,0.514868069721545,1496,6.21413843888071
8836,1.36892377843728E+018,840,735,15,0,164807,1,0,0.533333333333333,2071,48.5440353460972
8837,1.36892377824018E+018,8145,2088,12,149,26370,0,0,0.795954265611258,3890,7.76730486008837
8838,1.36892377745163E+018,2481,2631,9,146,95236,39,0,0.485328638497653,3980,28.0518409425626
8839,1.36892377576546E+018,446,1042,7,84,1312,8,0,0.299731182795699,3131,0.386450662739323
8840,1.36892377504406E+018,1137,1917,11,110,28636,35,0,0.37229862475442,3541,8.43475699558174
8841,1.36892377210795E+018,432,104,9,90,1461,2,0,0.805970149253731,2900,0.430338733431517
8842,1.36892377196961E+018,2576,2448,11,101,42987,4,0,0.512738853503185,4312,12.6618556701031
8843,1.36892377184804E+018,170,716,14,139,37469,3,1,0.191873589164786,1302,11.0365243004418
8844,1.36892377091686E+018,293,79,10,74,3612,0,0,0.787634408602151,1094,1.0639175257732
8845,1.36892376956629E+018,151,353,9,138,901,2,1,0.299603174603175,1503,0.265390279823269
8846,1.36892376921821E+018,19,39,10,1,8,6,0,0.327586206896552,3113,0.002356406480118
8847,1.3689237684171E+018,781,1269,13,153,17769,0,0,0.380975609756098,4224,5.23387334315169
8848,1.36892376814447E+018,526,1132,14,150,8124,13,0,0.317249698431846,3098,2.39293078055965
8849,1.36892376805221E+018,10468,5844,12,114,19962,1,0,0.641736145169201,2893,5.87982326951399
